#GCA_004358025.1_ASM435802v1_genomic.fna	R. deserti SPY-1 
#GCA_004912135.1_ASM491213v1_genomic.fna	R. rosettiformans W3 1
#GCA_004912145.1_ASM491214v1_genomic.fna	R. rhizophilum 7209-2 
GCA_005145045.1_ASM514504v1_genomic.fna	A. larrymoorei CFBP5473 
#GCA_005862305.2_ASM586230v2_genomic.fna	R. indicum JKLM 12A2
#GCA_006335145.1_ASM633514v1_genomic.fna	R. smilacinae PTYR-5 
#GCA_006443685.1_ASM644368v1_genomic.fna	R. glycinendophyticum CL12
#GCA_007000325.2_ASM700032v2_genomic.fna	R. rhododendri rho-6.2
#GCA_007002985.1_ASM700298v1_genomic.fna	R. rhizogenes LMG150  
#GCA_009176305.1_ASM917630v1_genomic.fna	R. dioscoreae DNA 
GCA_010669145.1_ASM1066914v1_genomic.fna	R. oryzihabitans M15 
#GCA_011045155.1_ASM1104515v1_genomic.fna	R. daejeonense CCBAU10050 
#GCA_011046895.1_ASM1104689v1_genomic.fna	R. rhizoryzae DSM 29514  
#GCA_012349115.1_ASM1234911v1_genomic.fna	R. ruizarguesonis UPM1133
#GCA_012927355.1_ASM1292735v1_genomic.fna	R. terricola S-51
#GCA_013087515.1_ASM1308751v1_genomic.fna	R. sophorae CCBAU 03386  
#GCA_013087625.1_ASM1308762v1_genomic.fna	R. changzhiense WYCCWR 11279 
#GCA_013378445.1_ASM1337844v1_genomic.fna	R. rhizolycopersici DBTS2  
#GCA_014192445.1_ASM1419244v1_genomic.fna	R. laguerreae CECT 8280 
#GCA_014196235.1_ASM1419623v1_genomic.fna	R. fabae DSM 19331 
#GCA_014196505.1_ASM1419650v1_genomic.fna	R. metallidurans DSM 26575 
GCA_014196515.1_ASM1419651v1_genomic.fna	R. skierniewicense DSM 26438 
#GCA_014196605.1_ASM1419660v1_genomic.fna	R. rhizoryzae DSM 29514 
#GCA_014201355.1_ASM1420135v1_genomic.fna	R. wenxiniae DSM 100734  
#GCA_014202175.1_ASM1420217v1_genomic.fna	R. rosettiformans DSM 26376    
#GCA_014727215.1_ASM1472721v1_genomic.fna	R. leucaenae USDA 9039 
#GCA_014873945.1_ASM1487394v1_genomic.fna	R. viscosum DSM 7307
GCA_015704895.1_ASM1570489v1_genomic.fna	A. leguminum MOPV5 
#GCA_016722925.1_ASM1672292v1_genomic.fna	R. setariae KVB221 
GCA_017313405.1_ASM1731340v1_genomic.fna	A. burrii Rnr 
#GCA_017352135.1_ASM1735213v1_genomic.fna	R. lentis BLR27
#GCA_017357225.1_ASM1735722v1_genomic.fna	R. binae BLR195
#GCA_017357245.1_ASM1735724v1_genomic.fna	R. bangladeshense BLR175
GCA_017873055.1_ASM1787305v1_genomic.fna	A. rubi DSM 6772 
#GCA_017873095.1_ASM1787309v1_genomic.fna	R. halophytocola DSM 21600 
#GCA_017873135.1_ASM1787313v1_genomic.fna	R. herbae DSM 26427 
#GCA_019430945.1_ASM1943094v1_genomic.fna	R. populisoli XQZ8 
#GCA_019684215.1_ASM1968421v1_genomic.fna	R. bangladeshense BLR175 
